link_post,total_likes,total_comments
https://www.instagram.com/reel/Cd4KvWaFvo_/,28.0,0.0
https://www.instagram.com/reel/Cd2n__eF8Nt/,34.0,0.0
https://www.instagram.com/reel/Cdx3U2TFCHr/,46.0,1.0
https://www.instagram.com/p/CdBJFvYPlNg/,14.0,0.0
https://www.instagram.com/reel/CYAXH94luGU/,46.0,1.0
https://www.instagram.com/reel/CT-O_eJBGAv/,1143.0,11.0
https://www.instagram.com/reel/CSzDB2ohQcu/,788.0,1.0
https://www.instagram.com/reel/CSrmM3ihkLA/,43.0,0.0
https://www.instagram.com/reel/CSc9dhcBnpT/,699.0,2.0
https://www.instagram.com/p/CHxkzaCDOni/,51.0,5.0
https://www.instagram.com/p/CFGj07UjiAt/,32.0,6.0
https://www.instagram.com/reel/CE8q7EXDCXK/,1040.0,3.0
https://www.instagram.com/p/CE2m_NeDicD/,33.0,3.0
https://www.instagram.com/p/CEoBdOMD7e1/,28.0,1.0
https://www.instagram.com/p/CEQo5wwDCDc/,35.0,0.0
https://www.instagram.com/p/CD6M1itDNwg/,35.0,1.0
https://www.instagram.com/p/CDKszk5jbYj/,71.0,1.0
https://www.instagram.com/p/CC79smhhSuk/,39.0,14.0
https://www.instagram.com/reel/CC0_LjzjtFk/,610.0,0.0
https://www.instagram.com/p/CCvGwRLDypg/,19.0,0.0
https://www.instagram.com/p/CCG-bQoD8q4/,17.0,7.0
https://www.instagram.com/p/CB-OBR4J1Sc/,19.0,7.0
https://www.instagram.com/p/CA0RU9_ptMM/,25.0,5.0
https://www.instagram.com/p/CAitHGmpjeT/,12.0,0.0
https://www.instagram.com/reel/B_jSb1WJc3h/,810.0,17.0
https://www.instagram.com/p/B_VoK0ypcRx/,14.0,0.0
https://www.instagram.com/reel/B_LD-qeJEZ4/,603.0,0.0
https://www.instagram.com/p/B8SoLubhp1J/,16.0,0.0
https://www.instagram.com/p/B8G6kXRhVhT/,622.0,1.0
https://www.instagram.com/reel/B71Bx0pBPle/,311.0,0.0
https://www.instagram.com/reel/B6XUqNSBv8i/,499.0,0.0
https://www.instagram.com/p/B6U9d1ehT3p/,1254.0,1.0
https://www.instagram.com/reel/B6H6RTYhjLx/,1024.0,0.0
https://www.instagram.com/p/B6H5p53BNbQ/,718.0,0.0
https://www.instagram.com/p/B5mvglzBI12/,590.0,11.0
https://www.instagram.com/p/B3_R5aen5wE/,13.0,0.0
https://www.instagram.com/p/B3yO2M5HACY/,12.0,0.0
https://www.instagram.com/p/B3e0KQmH721/,20.0,0.0
https://www.instagram.com/p/B3MoUBzg1tD/,154.0,1.0
https://www.instagram.com/p/B25dQQwA5D8/,22.0,0.0
https://www.instagram.com/p/B20j5fGgh77/,16.0,1.0
https://www.instagram.com/p/B2zAjhVgFVg/,13.0,0.0
https://www.instagram.com/p/B2yaejrg6k6/,8.0,0.0
https://www.instagram.com/p/B2vtMb1gVA_/,6.0,0.0
https://www.instagram.com/p/B2vImJ_ANFs/,11.0,0.0
https://www.instagram.com/p/B2vEGckgWLA/,8.0,0.0
https://www.instagram.com/p/B2uZT36A2Sr/,191.0,0.0
https://www.instagram.com/p/B2uMmodABhw/,9.0,0.0
https://www.instagram.com/p/B2uLT5HA1rt/,9.0,0.0
https://www.instagram.com/p/B2pDR0cnzo2/,8.0,0.0
https://www.instagram.com/p/B2pDJyAHFud/,7.0,0.0
https://www.instagram.com/p/B2pCibVHBpy/,4.0,0.0
https://www.instagram.com/p/B2pAAJcH7H1/,7.0,1.0
https://www.instagram.com/p/B2o_jYLH9jO/,5.0,0.0
https://www.instagram.com/p/B2o-yCBnJSP/,6.0,0.0
