link_post,total_likes,total_comments
https://www.instagram.com/p/BL7pSrIjca6/,19,0
https://www.instagram.com/p/BL7ouiyDztg/,22,0
https://www.instagram.com/p/BL7oX1VjFAm/,18,0
https://www.instagram.com/p/BLkyhfJDJhp/,21,0
https://www.instagram.com/p/BLN1iK0j7Lj/,31,0
https://www.instagram.com/reel/BLKsMV9j07Y/,23,6
https://www.instagram.com/p/BLJVDLpDO7N/,16,0
https://www.instagram.com/p/BLJT6Ouj3qG/,31,0
https://www.instagram.com/p/BKN1QceDwhs/,17,0
https://www.instagram.com/reel/BKNzDWFDa48/,14,0
https://www.instagram.com/reel/BJ9406cjoz2/,21,3
https://www.instagram.com/p/BJSZp7HDYYZ/,26,0
https://www.instagram.com/p/BJQk4OnD3G8/,22,0
https://www.instagram.com/p/BJQdEY7j-ge/,23,7
https://www.instagram.com/p/BJP5p2ijVGp/,24,1
https://www.instagram.com/p/BBcigncIkQn/,15,3
https://www.instagram.com/p/BBQ22ZqokaT/,12,0
https://www.instagram.com/p/BBPpBq5okRC/,11,0
https://www.instagram.com/p/-RdXVzIkWj/,7,0
https://www.instagram.com/p/-RcvwoIkVi/,8,0
https://www.instagram.com/p/-QRZlKokQI/,10,1
https://www.instagram.com/p/-OmSO4okQg/,14,3
https://www.instagram.com/p/-OldXeIkfS/,11,4
https://www.instagram.com/p/8VdsotIkRl/,7,0
https://www.instagram.com/p/7CakIDokQK/,10,2
https://www.instagram.com/p/7CWvkMIkbw/,15,0
https://www.instagram.com/p/6RolTwIkRh/,9,0
https://www.instagram.com/p/6Rns1jokQd/,8,0
https://www.instagram.com/p/6RnfBWIkQF/,7,0
https://www.instagram.com/p/6PtOeBIkfp/,10,0
https://www.instagram.com/p/6Ps7qqokev/,8,0
https://www.instagram.com/p/6PsrsPIkd5/,13,0
https://www.instagram.com/p/6PcoxGokW7/,6,0
https://www.instagram.com/p/6MuX9DokTD/,16,0
https://www.instagram.com/p/6MKbbNokYB/,9,0
https://www.instagram.com/p/6MAQ7gIkYG/,14,0
