link_post,total_likes,total_comments
https://www.instagram.com/reel/C48NSQ1yfFv/,160.0,5.0
https://www.instagram.com/reel/C45MJsKSlAh/,,
https://www.instagram.com/p/C44tiXFShBP/,187.0,3.0
https://www.instagram.com/reel/C4zbrMhSTyp/,122.0,2.0
https://www.instagram.com/reel/C4sESasy7aR/,272.0,1.0
https://www.instagram.com/p/C4pnquMrq-v/,31.0,0.0
https://www.instagram.com/reel/C4j24oGyMvR/,224.0,6.0
https://www.instagram.com/reel/C4dAh-gyLVw/,327.0,11.0
https://www.instagram.com/reel/C4PkAnaSlot/,107.0,4.0
https://www.instagram.com/reel/C4Fcy7jSCNz/,95.0,0.0
https://www.instagram.com/reel/C37Adaeyjts/,422.0,4.0
https://www.instagram.com/reel/C3wT6RRyWV6/,46.0,1.0
https://www.instagram.com/reel/C3pcJ9IyRsl/,260.0,0.0
https://www.instagram.com/reel/C3XtqZuSipo/,211.0,4.0
https://www.instagram.com/reel/C3T2hHTy4df/,170.0,0.0
https://www.instagram.com/reel/C2WmejbL2Xw/,234.0,7.0
https://www.instagram.com/reel/C2Eqo83S2jB/,102.0,0.0
https://www.instagram.com/reel/C1g5zBTy8HD/,205.0,0.0
https://www.instagram.com/reel/C0igtD4yV3e/,97.0,2.0
https://www.instagram.com/reel/C0Qx1UHyF2n/,110.0,4.0
https://www.instagram.com/reel/Cy7yIvRSGjm/,70.0,3.0
https://www.instagram.com/p/CyE9VGNSGpV/,75.0,0.0
https://www.instagram.com/reel/CyDVfNcyLGs/,53.0,0.0
https://www.instagram.com/reel/Cxwpcp2S0RJ/,121.0,0.0
https://www.instagram.com/reel/Cxrm3L8yMb9/,66.0,5.0
https://www.instagram.com/reel/Cxc7C7oyyTb/,68.0,0.0
https://www.instagram.com/reel/Cw9TNhpSa9B/,293.0,10.0
https://www.instagram.com/p/Cw6ripwLQKi/,692.0,11.0
https://www.instagram.com/reel/Cw4c7p9ymLs/,98.0,3.0
https://www.instagram.com/p/CwzniSLx35i/,348.0,12.0
https://www.instagram.com/reel/CwUis6uBaA1/,50.0,3.0
https://www.instagram.com/reel/CwPsWabpp3s/,163.0,20.0
https://www.instagram.com/reel/CwOn84yBVo8/,63.0,1.0
https://www.instagram.com/p/CwMpdbCLmMp/,74.0,17.0
https://www.instagram.com/p/Cv9GhrfLCde/,264.0,18.0
https://www.instagram.com/p/Cv9ES7hPjZq/,112.0,1.0
